Date,Advertiser,Advertiser ID,Order,Order ID,Total cost,Impressions,DPV,Purchases,Sales USD
6-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,487.51,127712,85,0,0
7-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,286.79,78030,193,1,16.97
8-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,337.16,84055,278,16,253.04
9-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,363.46,96980,287,11,148.87
10-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,545.86,162443,220,3,41.34
11-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,536.29,186219,204,3,33.81
12-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,610.34,200615,205,6,119.09
13-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,725.34,236550,219,8,111.58
14-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,530.46,191399,176,8,116.51
15-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,835.65,264072,257,4,70.62
16-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,360.29,122871,163,5,70.27
17-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,493.33,160964,221,12,196.29
18-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,398.56,111311,147,5,81.24
19-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,374.57,108815,147,2,29.24
20-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,398.07,127967,173,5,70.34
21-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,416.45,132229,189,5,79.45
22-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,430.66,135256,183,9,143.91
23-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,416,118911,203,9,132.97
24-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,533.7,156092,164,8,110.88
25-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,675.31,234527,229,3,91.62
26-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,711.28,229395,251,6,113.78
27-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,768.05,246774,220,7,130.85
28-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,951.72,290619,204,6,96.47
29-Jan-20,Bausch & Lomb Inc,6.71902E+12,201912.2680_B&L_Lumify 2020_Jan20 - Dec20_XRTB_DPVR BEAUTY ENTHUSIASTS_Non MG,4.60485E+12,893.35,271788,285,8,130.39
